,lat,lon,name,country,temp_max,temp_min,clouds,visibility,wind,humidity
0,42.097,-79.2353,Jamestown,US,61.0,59.0,1,10000,20.71,72
1,55.7435,-97.8558,Thompson,CA,32.0,32.0,75,10000,8.05,69
2,-54.8,-68.3,Ushuaia,AR,46.4,46.4,40,10000,6.91,71
3,-34.5833,150.8552,Flinders,AU,66.0,66.0,5,10000,11.01,43
4,42.6001,-73.9662,Albany,US,64.0,60.01,100,10000,2.8,64
5,-37.8333,140.7667,Mount Gambier,AU,59.0,59.0,75,10000,17.27,55
6,-23.1203,-134.9692,Rikitea,PF,78.57,78.57,14,10000,12.12,75
7,66.0449,-17.3389,Husavik,IS,24.8,24.8,0,10000,4.61,68
8,44.0787,-80.2041,Shelburne,CA,57.99,55.99,100,10000,7.96,60
9,65.6145,-37.6368,Tasiilaq,GL,24.8,24.8,32,10000,14.97,68
10,-37.6167,-73.65,Lebu,CL,51.03,51.03,6,10000,6.78,87
11,17.4924,44.1277,Najrān,SA,66.2,66.2,0,10000,6.04,22
12,49.2167,143.1167,Poronaysk,RU,50.34,50.34,15,10000,13.67,46
13,22.0752,-159.319,Kapaa,US,75.2,71.01,75,10000,17.27,64
14,-33.5906,26.891,Port Alfred,ZA,69.08,69.08,100,10000,4.7,86
15,40.0833,-105.3505,Boulder,US,60.8,42.01,1,10000,5.75,16
16,-21.3585,55.7679,Saint-Philippe,RE,78.8,73.4,0,10000,6.91,73
17,-42.8794,147.3294,Hobart,AU,50.0,48.0,75,10000,18.41,71
18,54.8633,58.4219,Yuryuzan',RU,40.75,40.75,100,10000,4.7,82
19,68.75,161.3,Cherskiy,RU,-2.02,-2.02,85,10000,4.36,81
20,-10.6167,150.6667,Samarai,PG,83.32,83.32,87,10000,14.05,64
21,67.667,12.6934,Sørland,NO,36.09,36.09,100,2643,24.0,88
22,2.7739,27.616,Isiro,CD,66.56,66.56,100,10000,4.09,98
23,15.2833,-23.7667,Tarrafal,CV,71.6,71.6,0,10000,12.66,53
24,-33.65,115.3333,Busselton,AU,59.0,55.99,100,3265,3.0,95
25,38.033,-122.2669,Rodeo,US,61.0,53.01,0,10000,7.61,58
26,26.326,43.975,Buraidah,SA,68.0,68.0,40,10000,14.97,42
27,63.7256,8.834,Sistranda,NO,35.6,35.6,75,10000,17.27,87
28,1.3077,35.2039,Chepareria,KE,60.31,60.31,64,10000,3.96,78
29,69.4541,-133.0374,Tuktoyaktuk,CA,-11.2,-11.2,1,10000,9.22,70
30,72.7868,-56.1549,Upernavik,GL,12.16,12.16,57,10000,7.29,85
31,62.6683,131.1683,Borogontsy,RU,17.37,17.37,100,304,9.53,89
32,39.1834,-84.5333,Hamilton,US,59.0,55.0,40,10000,12.66,77
33,64.3833,-173.3,Provideniya,RU,3.79,3.79,100,870,23.0,88
34,46.6166,10.7002,Laas,IT,46.0,33.8,75,6000,5.75,100
35,69.2167,-51.1,Ilulissat,GL,19.4,19.4,90,10000,8.05,86
36,-13.7,-76.2167,Pisco,PE,68.0,68.0,0,10000,4.61,77
37,-33.918,25.5701,Port Elizabeth,ZA,66.2,66.2,75,10000,2.3,94
38,-33.9258,18.4232,Cape Town,ZA,63.0,60.01,0,10000,9.22,94
39,77.484,-69.3632,Qaanaaq,GL,12.78,12.78,100,2127,7.16,89
40,-33.8667,121.9,Esperance,AU,66.2,66.2,99,10000,16.11,55
41,5.4112,100.3354,George Town,MY,87.8,82.0,20,7000,2.3,79
42,-24.8667,113.6333,Carnarvon,AU,86.0,86.0,75,10000,34.52,70
43,-41.8697,-73.8203,Ancud,CL,54.0,48.0,90,2900,14.97,100
44,50.6789,156.125,Severo-Kuril'sk,RU,31.44,31.44,30,10000,23.6,75
45,32.9833,132.9333,Nakamura,JP,62.37,62.37,97,10000,6.98,54
46,-34.5322,20.0403,Bredasdorp,ZA,51.8,51.8,100,10000,1.14,100
47,-45.4167,167.7167,Te Anau,NZ,57.61,57.61,99,10000,4.25,85
48,62.456,-114.3525,Yellowknife,CA,5.0,5.0,20,10000,9.22,56
49,70.6333,147.9167,Chokurdakh,RU,-6.72,-6.72,17,10000,1.16,90
50,62.1444,117.6319,Suntar,RU,16.65,16.65,100,10000,8.19,71
51,-46.1927,168.8643,Mataura,NZ,57.99,57.99,100,10000,8.99,86
52,-53.15,-70.9167,Punta Arenas,CL,46.4,46.0,20,10000,23.02,71
53,56.6709,124.6491,Neryungri,RU,10.18,10.18,100,10000,14.58,73
54,19.7297,-155.09,Hilo,US,75.2,64.99,90,10000,6.91,53
55,-34.0033,24.7314,Kruisfontein,ZA,58.12,58.12,72,10000,3.33,77
56,65.282,-126.8329,Norman Wells,CA,-5.8,-5.8,90,4828,11.5,77
57,-33.0153,27.9116,East London,ZA,64.4,64.4,90,10000,2.3,100
58,64.8621,11.2373,Rørvik,NO,40.19,40.19,96,10000,17.9,60
59,38.5167,-28.7,Ribeira Grande,PT,61.5,61.5,90,5158,15.99,93
60,14.6667,-4.0,Mopti,ML,80.6,80.6,0,10000,4.61,29
61,65.85,74.4859,Pangody,RU,33.51,33.51,93,10000,14.74,98
62,39.6542,66.9597,Samarkand,UZ,60.8,60.8,0,10000,9.22,44
63,71.9667,102.5,Khatanga,RU,23.41,23.41,100,174,14.92,94
64,38.7333,-27.0667,Praia da Vitória,PT,60.8,60.01,75,3000,17.45,100
65,71.2906,-156.7887,Barrow,US,-7.6,-7.6,1,10000,10.36,71
66,32.944,-103.3485,Lovington,US,64.0,57.0,1,10000,1.99,18
67,-35.5667,138.6167,Victor Harbor,AU,61.0,61.0,98,10000,3.0,60
68,-46.1333,167.6833,Tuatapere,NZ,57.99,57.99,100,10000,8.99,86
69,64.5011,-165.4064,Nome,US,12.99,12.2,90,10000,18.41,67
70,48.4001,-89.3168,Thunder Bay,CA,43.0,42.8,90,10000,4.61,87
71,-30.1811,-50.2056,Cidreira,BR,73.99,73.99,100,10000,10.33,86
72,14.0453,124.1694,Pandan,PH,83.01,83.01,44,10000,10.56,68
73,3.0707,172.7902,Butaritari,KI,82.11,82.11,100,10000,9.57,75
74,38.4953,102.1739,Jinchang,CN,58.75,58.75,100,10000,7.0,21
75,-2.9248,-39.9167,Itarema,BR,78.13,78.13,44,10000,11.43,83
76,42.7834,-80.1997,Port Dover,CA,59.0,51.8,100,5900,3.44,63
77,-9.0763,143.2092,Daru,PG,82.67,82.67,68,10000,2.46,74
78,18.8167,95.2167,Prome,MM,95.7,95.7,6,10000,8.34,34
79,69.7008,170.3133,Pevek,RU,-7.08,-7.08,65,10000,2.35,89
80,-11.7833,19.9167,Luena,AO,58.37,58.37,71,10000,2.06,93
81,43.1592,40.3378,Pitsunda,GE,41.0,41.0,40,9000,6.71,100
82,49.7834,-74.8492,Chapais,CA,48.2,48.2,90,10000,10.36,49
83,26.1842,127.7558,Nishihara,JP,73.4,71.6,75,10000,19.57,64
84,-5.6667,132.75,Tual,ID,83.48,83.48,66,10000,9.95,70
85,7.7733,81.6095,Eravur,LK,84.43,84.43,53,10000,4.25,64
86,63.0128,112.4714,Chernyshevskiy,RU,14.83,14.83,4,10000,8.08,69
87,-20.5167,57.5167,Souillac,MU,77.0,77.0,75,10000,6.91,78
88,71.0357,27.8492,Mehamn,NO,32.85,32.85,99,3374,16.6,91
89,-23.3167,17.0833,Rehoboth,NA,62.35,62.35,0,10000,5.32,39
90,7.3833,8.5667,Yaan,NG,78.75,78.75,100,10000,9.82,72
91,30.634,117.8517,Rongcheng,CN,62.46,62.46,99,10000,1.01,69
92,-34.4187,19.2345,Hermanus,ZA,57.0,57.0,100,10000,3.24,95
93,60.9167,-46.05,Narsaq,GL,35.6,35.6,75,10000,4.61,75
